LocationKey,LocationName,City,State,Country,Region,Continent,Cost_of_Living_Index,Tech_Hub_Rating,Population,Local_GDP_USD,Timezone
LOC-0001,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,85.42,3.3,169348,1.17E+12,Asia/Baku
LOC-0002,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,37.94,2.3,23377626,1.38E+12,Europe/Brussels
LOC-0003,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,41.29,2.1,20261049,2.95E+11,America/Managua
LOC-0004,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,109.24,2.1,10479194,7.72E+11,Africa/Windhoek
LOC-0005,"London, United Kingdom",London,England,United Kingdom,EMEA,Europe,92.57,4.1,13023195,5.51E+11,Africa/Monrovia
LOC-0006,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,52.88,4.9,8988965,1.69E+12,Europe/Brussels
LOC-0007,"Mumbai, India",Mumbai,Maharashtra,India,APAC,Asia,89.14,4.1,1281109,1.59E+12,Africa/Dakar
LOC-0008,"New York, United States",New York,New York,United States,Americas,North America,111.62,3.2,13042638,5.31E+11,Asia/Seoul
LOC-0009,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,148.66,1.8,6650499,9.07E+11,Atlantic/Azores
LOC-0010,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,108.81,3.7,11805921,7.90E+11,America/Dominica
LOC-0011,"Seoul, South Korea",Seoul,Seoul,South Korea,APAC,Asia,117.91,4.5,13417327,9.16E+11,Pacific/Kwajalein
LOC-0012,"Sydney, Australia",Sydney,New South Wales,Australia,APAC,Australia,105.42,2.6,18209692,17179034059,America/Barbados
LOC-0013,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,59.29,1.9,9423739,1.77E+12,Africa/Mogadishu
LOC-0014,"Seoul, South Korea",Seoul,Seoul,South Korea,APAC,Asia,79.96,3.2,16558191,1.64E+12,Africa/Bamako
LOC-0015,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,43.14,2.6,19406051,1.34E+12,Asia/Karachi
LOC-0016,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,124.51,1.7,23847872,7.77E+11,Africa/Mbabane
LOC-0017,"Berlin, Germany",Berlin,Berlin,Germany,EMEA,Europe,141.91,4.9,17414157,6.62E+11,Asia/Bangkok
LOC-0018,"New York, United States",New York,New York,United States,Americas,North America,81.77,2.7,13029652,1.03E+12,America/Mexico_City
LOC-0019,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,99.41,2.1,24358295,1.51E+12,Europe/Lisbon
LOC-0020,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,72.88,1.1,10563381,1.48E+12,Asia/Brunei
LOC-0021,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,115.31,3.9,17370563,8.81E+11,Pacific/Apia
LOC-0022,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,108.57,3,4945109,1.91E+12,Africa/Asmera
LOC-0023,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,52.66,3.2,15653029,4.27E+11,Africa/Brazzaville
LOC-0024,"London, United Kingdom",London,England,United Kingdom,EMEA,Europe,34.55,3.5,12602576,1.71E+11,America/Costa_Rica
LOC-0025,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,51.24,4.9,11211260,1.75E+12,America/Nassau
LOC-0026,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,138.57,2.8,23088585,4.30E+11,Africa/Kampala
LOC-0027,"Istanbul, Turkey",Istanbul,Istanbul,Turkey,EMEA,Europe,36.66,1.8,15202346,1.28E+12,Asia/Kuwait
LOC-0028,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,128.16,1.1,13096714,5.11E+11,Africa/Douala
LOC-0029,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,46.3,1.3,12862007,1.48E+11,Asia/Gaza
LOC-0030,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,56.24,4.2,13225496,45984532125,Asia/Aden
LOC-0031,"Sydney, Australia",Sydney,New South Wales,Australia,APAC,Australia,104.73,3.3,972637,1.84E+12,Europe/Belgrade
LOC-0032,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,104.38,3.4,23103354,1.84E+12,Europe/Berlin
LOC-0033,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,126.43,4.6,22291276,1.04E+12,Asia/Vientiane
LOC-0034,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,96.6,4.5,16942029,1.17E+12,America/Nassau
LOC-0035,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,84.87,1.9,14495699,1.04E+12,Europe/Stockholm
LOC-0036,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,71.62,2.4,21165360,4.25E+11,America/Panama
LOC-0037,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,90.75,4.7,9287412,8.29E+11,Africa/Malabo
LOC-0038,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,93.5,4.2,10765283,1.47E+12,Africa/Bamako
LOC-0039,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,70.51,4.7,1445074,1.70E+12,Pacific/Ponape
LOC-0040,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,111.96,2.7,3622713,8.42E+11,America/Argentina/Jujuy
LOC-0041,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,37.43,2.5,21052043,2.62E+11,Asia/Thimphu
LOC-0042,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,58.48,3.8,11226779,1.14E+12,Africa/Luanda
LOC-0043,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,139.25,2.8,3366838,1.05E+11,America/Paramaribo
LOC-0044,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,86.24,2.3,21606969,1.51E+12,Asia/Colombo
LOC-0045,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,131.41,1.4,21962776,9.02E+11,Africa/Tripoli
LOC-0046,"São Paulo, Brazil",São Paulo,São Paulo,Brazil,Americas,South America,91.05,2.1,23516445,1.58E+12,Europe/Vienna
LOC-0047,"Cairo, Egypt",Cairo,Cairo,Egypt,EMEA,Africa,114.86,3.8,20452451,1.62E+12,Africa/Nouakchott
LOC-0048,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,71.95,3.2,1823682,3.47E+11,Africa/Johannesburg
LOC-0049,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,86.13,4.2,9968625,9.58E+11,Pacific/Galapagos
LOC-0050,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,89.8,4.9,22505242,1.14E+12,Europe/Berlin
LOC-0051,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,83.45,2,3957832,1.40E+12,Africa/Dar_es_Salaam
LOC-0052,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,103.09,4.9,8664832,9.47E+11,America/Guyana
LOC-0053,"Shanghai, China",Shanghai,Shanghai,China,APAC,Asia,126.34,3.7,6407346,4.54E+11,America/Grenada
LOC-0054,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,148.51,3.8,21091502,5.26E+11,Atlantic/Cape_Verde
LOC-0055,"Paris, France",Paris,Île-de-France,France,EMEA,Europe,79.51,3.4,4133832,1.87E+12,Asia/Calcutta
LOC-0056,"New York, United States",New York,New York,United States,Americas,North America,82.35,3.7,9701119,1.97E+12,Europe/Sarajevo
LOC-0057,"Istanbul, Turkey",Istanbul,Istanbul,Turkey,EMEA,Europe,68.66,3,13963745,1.38E+12,America/Asuncion
LOC-0058,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,95.44,2.3,5530020,1.03E+12,Pacific/Kosrae
LOC-0059,"Sydney, Australia",Sydney,New South Wales,Australia,APAC,Australia,67.14,2.9,2724255,7.76E+11,Atlantic/Azores
LOC-0060,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,30.07,1.1,16709784,78905553844,Pacific/Nauru
LOC-0061,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,148.43,2.6,2848085,1.36E+12,Africa/Accra
LOC-0062,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,102.47,4.2,18465587,1.35E+12,Pacific/Auckland
LOC-0063,"Berlin, Germany",Berlin,Berlin,Germany,EMEA,Europe,117.33,1.7,4647037,1.46E+12,Atlantic/Canary
LOC-0064,"Jakarta, Indonesia",Jakarta,Jakarta,Indonesia,APAC,Asia,48.44,4.9,12458794,2.12E+11,Europe/Bucharest
LOC-0065,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,121.06,2.9,7767273,1.06E+12,Europe/Oslo
LOC-0066,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,78.14,4.3,16171317,1.93E+12,Asia/Dubai
LOC-0067,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,50.3,3.2,23558403,7.04E+11,Indian/Mauritius
LOC-0068,"Lagos, Nigeria",Lagos,Lagos,Nigeria,EMEA,Africa,103.28,2.6,18508486,1.00E+12,Africa/Johannesburg
LOC-0069,"Moscow, Russia",Moscow,Moscow,Russia,EMEA,Europe,109.49,4.7,5811994,2.18E+11,Asia/Colombo
LOC-0070,"Los Angeles, United States",Los Angeles,California,United States,Americas,North America,126.83,3.2,22042247,9.17E+11,Asia/Kabul
LOC-0071,"Mexico City, Mexico",Mexico City,Mexico City,Mexico,Americas,North America,148.34,1.5,7879869,1.46E+12,America/St_Vincent
LOC-0072,"Toronto, Canada",Toronto,Ontario,Canada,Americas,North America,141.13,2.7,21223924,1.69E+12,Europe/Prague
LOC-0073,"Kinshasa, DR Congo",Kinshasa,Kinshasa,DR Congo,EMEA,Africa,77.7,1.2,853121,6.22E+11,Pacific/Nauru
LOC-0074,"New York, United States",New York,New York,United States,Americas,North America,40.59,4.1,24828716,3.04E+11,Europe/Tirane
LOC-0075,"Buenos Aires, Argentina",Buenos Aires,Buenos Aires,Argentina,Americas,South America,81.58,4.7,23261569,1.69E+12,Africa/Asmera
LOC-0076,"Tokyo, Japan",Tokyo,Tokyo,Japan,APAC,Asia,56.96,1.2,2233729,1.72E+12,Africa/Algiers
