AIInvestmentKey,AI_Investment_Level_USD,AI_Productivity_Gain_Pct,AI_Return_on_Investment_ROI_Score,Primary_Investment_Area,Investment_DateKey,Funding_Source,Project_Name,Project_Status,Team_Size,Risk_Level,Expected_Payback_Period_Months
1,44233372,0.25,2.84,Platform,834,Grant,AI Project 1,In-Progress,30,Low,32
2,32630550,0.19,2.51,Generative AI,1653,VC,AI Project 2,Completed,36,High,19
3,48017114,0.16,1.36,Platform,428,Corporate,AI Project 3,Completed,76,Medium,20
4,38140406,0.16,2.26,Platform,810,Corporate,AI Project 4,On-Hold,35,Low,20
5,21866528,0.23,1.11,Generative AI,1279,Grant,AI Project 5,In-Progress,27,Medium,10
6,34420240,0.24,2.21,Analytics,1286,VC,AI Project 6,Completed,13,Low,25
7,34305965,0.29,1.2,Platform,920,VC,AI Project 7,Planned,77,Low,35
8,26090751,0.2,2.34,Platform,505,Internal,AI Project 8,Planned,76,Low,24
9,41098732,0.14,0.59,Analytics,1247,Corporate,AI Project 9,Completed,46,Low,26
10,32595019,0.13,2.53,Analytics,629,Internal,AI Project 10,Planned,99,Medium,11
11,29765408,0.27,2.11,Analytics,1379,VC,AI Project 11,In-Progress,54,Medium,9
12,24492680,0.31,2.12,Generative AI,2105,Corporate,AI Project 12,Planned,70,Medium,12
13,13136143,0.05,0.99,Analytics,1155,Grant,AI Project 13,Completed,74,Low,13
14,9593761,0.4,1.73,Generative AI,1353,Internal,AI Project 14,Completed,14,Low,31
15,12701531,0.08,1.87,Automation,755,Grant,AI Project 15,In-Progress,42,Low,35
16,33975567,0.4,0.71,Analytics,972,VC,AI Project 16,Completed,79,Low,9
17,19025722,0.34,2.13,Platform,1484,Corporate,AI Project 17,Planned,23,High,15
18,3213160,0.21,0.82,Platform,424,Grant,AI Project 18,Completed,99,Medium,28
19,19537621,0.09,2.8,Generative AI,1900,VC,AI Project 19,On-Hold,41,Low,10
20,8133047,0.07,2.88,Platform,47,Grant,AI Project 20,Completed,9,High,25
21,32115161,0.1,1.32,Automation,435,Corporate,AI Project 21,Completed,9,Low,24
22,30387108,0.37,2.8,Automation,1700,Internal,AI Project 22,Completed,28,Medium,27
23,8630142,0.34,2.06,Generative AI,954,Internal,AI Project 23,Planned,83,Low,27
24,10107403,0.14,1.84,Generative AI,1617,Corporate,AI Project 24,Completed,84,Medium,16
25,42241493,0.05,2.94,Automation,546,Internal,AI Project 25,On-Hold,63,Low,28
26,34399304,0.09,2.77,Automation,2006,Internal,AI Project 26,In-Progress,97,Low,35
27,49512715,0.08,0.95,Generative AI,62,Grant,AI Project 27,Planned,14,High,15
28,36353643,0.11,1.38,Automation,1620,Grant,AI Project 28,On-Hold,22,High,30
29,39571572,0.13,2.81,Platform,1947,Corporate,AI Project 29,In-Progress,59,Medium,7
30,9776410,0.39,2.44,Platform,871,Corporate,AI Project 30,In-Progress,26,Low,26
31,12780259,0.22,0.86,Generative AI,192,VC,AI Project 31,Completed,28,Medium,13
32,46135647,0.4,0.61,Analytics,509,VC,AI Project 32,On-Hold,72,High,21
33,22937599,0.21,2.2,Automation,1523,Internal,AI Project 33,Planned,41,High,25
34,16369292,0.25,0.81,Generative AI,1293,Corporate,AI Project 34,Planned,7,Low,24
35,35323612,0.24,2.68,Generative AI,1278,Internal,AI Project 35,Planned,77,Medium,28
36,2290673,0.07,2.58,Analytics,2067,Corporate,AI Project 36,In-Progress,29,High,24
37,40346390,0.16,1.09,Platform,2119,VC,AI Project 37,Planned,38,Low,12
38,25187229,0.14,1.21,Generative AI,38,Grant,AI Project 38,In-Progress,24,High,27
39,13182979,0.28,1.17,Analytics,51,Grant,AI Project 39,In-Progress,6,High,25
40,44944777,0.1,1.52,Automation,1605,Grant,AI Project 40,Completed,83,Medium,13
41,823464,0.14,0.58,Platform,618,Internal,AI Project 41,Planned,91,Low,17
42,48913124,0.3,0.6,Automation,660,Grant,AI Project 42,Completed,66,Medium,31
43,21713060,0.05,0.98,Analytics,2068,Corporate,AI Project 43,On-Hold,98,Medium,34
44,2887294,0.12,2.84,Automation,1102,Corporate,AI Project 44,In-Progress,87,High,16
45,41473818,0.15,2.38,Platform,1609,Grant,AI Project 45,On-Hold,35,Low,29
46,24505343,0.21,0.67,Automation,1196,Internal,AI Project 46,Planned,31,Medium,29
47,27391650,0.32,1.14,Automation,1689,VC,AI Project 47,Planned,73,Medium,30
48,4677480,0.37,0.76,Analytics,248,Internal,AI Project 48,In-Progress,85,Medium,31
49,14196307,0.39,0.5,Generative AI,1531,Grant,AI Project 49,In-Progress,72,Low,26
50,14081765,0.05,2.6,Platform,183,VC,AI Project 50,In-Progress,76,Medium,23
51,26119386,0.24,2.99,Platform,574,Grant,AI Project 51,In-Progress,77,Low,10
52,47884101,0.34,1.88,Analytics,1886,VC,AI Project 52,On-Hold,41,High,8
53,24304924,0.19,2.73,Analytics,799,Internal,AI Project 53,Planned,64,High,31
54,16912870,0.19,0.58,Generative AI,2043,VC,AI Project 54,Completed,67,Medium,26
55,37633919,0.2,1.63,Generative AI,589,Grant,AI Project 55,On-Hold,79,Low,9
