SkillsetKey,Top_Required_Skill_1,Top_Required_Skill_2,Top_Required_Skill_3,Top_Emerging_Skill_1,Top_Emerging_Skill_2,Top_Emerging_Skill_3,Top_Obsolete_Skill_1,Top_Obsolete_Skill_2,Top_Obsolete_Skill_3,Skill_Gap_Index,AI_Skill_Requirement_Level
1,Python,AWS,Communication,SQL,Salesforce,TensorFlow,Communication,PyTorch,Salesforce,8.8,Low
2,AWS,TensorFlow,AWS,GCP,SQL,Adobe Photoshop,Excel,Python,GCP,6.5,Low
3,SQL,Java,Salesforce,AWS,Excel,Python,Azure,Azure,GCP,5.8,Low
4,Adobe Photoshop,C++,Python,Adobe Photoshop,Project Management,R,Excel,Azure,C++,9.3,Very High
5,AWS,Java,Python,GCP,Azure,Project Management,Salesforce,TensorFlow,Tableau,9.4,High
6,Adobe Photoshop,PyTorch,Communication,Communication,C++,Marketing,Tableau,Java,TensorFlow,1.9,Low
7,Python,Tableau,C++,Marketing,GCP,R,Java,Marketing,Communication,1.0,Very High
8,AWS,Adobe Photoshop,AWS,Python,C++,Java,Excel,Python,Adobe Photoshop,2.7,High
9,PyTorch,Tableau,SQL,Marketing,Excel,Salesforce,Azure,GCP,Communication,4.3,Medium
10,SQL,R,R,Adobe Photoshop,Marketing,Salesforce,TensorFlow,Marketing,Excel,8.1,High
11,Communication,PyTorch,TensorFlow,C++,C++,Salesforce,R,Salesforce,R,1.6,Very High
12,Azure,Communication,Java,GCP,C++,Excel,PyTorch,Marketing,AWS,5.0,Medium
13,Python,C++,Marketing,Adobe Photoshop,Azure,TensorFlow,R,Adobe Photoshop,TensorFlow,6.0,Medium
14,SQL,Communication,GCP,Tableau,Python,Communication,SQL,C++,Azure,1.6,Low
15,GCP,SQL,Salesforce,Salesforce,Tableau,Power BI,Adobe Photoshop,Communication,Azure,5.7,Very High
16,Adobe Photoshop,Tableau,Python,GCP,Communication,GCP,PyTorch,SQL,Salesforce,5.9,Low
17,Communication,GCP,Communication,AWS,Java,Salesforce,TensorFlow,Communication,Salesforce,3.8,Medium
18,Python,Excel,Power BI,R,C++,Marketing,GCP,SQL,Azure,2.2,Very High
19,C++,Azure,Communication,GCP,C++,TensorFlow,Power BI,C++,Communication,3.2,Very High
20,Project Management,Salesforce,Power BI,Excel,Power BI,Communication,R,Salesforce,Power BI,5.8,High
21,Python,AWS,Java,Java,PyTorch,Power BI,Project Management,Python,AWS,8.0,Very High
22,Project Management,GCP,Java,Azure,Project Management,Tableau,R,Tableau,GCP,8.3,Very High
23,Communication,Tableau,Power BI,Communication,Azure,GCP,Java,Excel,GCP,2.3,Low
24,SQL,Tableau,Tableau,GCP,Power BI,GCP,Excel,Azure,Java,2.1,Medium
25,Project Management,Tableau,Salesforce,Tableau,GCP,TensorFlow,Excel,Communication,C++,7.4,Medium
26,PyTorch,Marketing,Communication,R,Power BI,Java,Power BI,Communication,C++,9.1,High
27,Azure,GCP,Java,GCP,Tableau,Python,Adobe Photoshop,Communication,Excel,6.7,Very High
28,Tableau,SQL,Adobe Photoshop,Marketing,Project Management,Java,PyTorch,Marketing,TensorFlow,1.4,High
